x,y,t,v,angle
25309.6,42677.4,74.5,403.322,70
25480.6,42783.1,75,400.744,70
25651.6,42886.3,75.5,398.21,70
25822.6,42987,76,395.72,70
25993.6,43085.3,76.5,393.276,70
26164.6,43181.2,77,390.878,70
26335.6,43274.6,77.5,388.527,70
26506.6,43365.5,78,386.224,70
26677.6,43454,78.5,383.97,70
26848.7,43540,79,381.766,70
27019.7,43623.6,79.5,379.612,70
27190.7,43704.7,80,377.51,70
27361.7,43783.4,80.5,375.46,70
27532.7,43859.6,81,373.463,70
27703.7,43933.4,81.5,371.52,70
27874.7,44004.7,82,369.632,70
28045.7,44073.5,82.5,367.8,70
28216.7,44140,83,366.025,70
28387.8,44203.9,83.5,364.306,70
28558.8,44265.4,84,362.647,70
28729.8,44324.5,84.5,361.046,70
28900.8,44381.1,85,359.504,70
29071.8,44435.2,85.5,358.024,70
29242.8,44486.9,86,356.605,70
29413.8,44536.2,86.5,355.247,70
29584.8,44582.9,87,353.953,70
29755.8,44627.3,87.5,352.722,70
29926.8,44669.2,88,351.555,70
30097.9,44708.6,88.5,350.453,70
30268.9,44745.6,89,349.416,70
30439.9,44780.1,89.5,348.446,70
30610.9,44812.2,90,347.541,70
30781.9,44841.8,90.5,346.704,70
30952.9,44869,91,345.935,70
31123.9,44893.7,91.5,345.233,70
31294.9,44916,92,344.6,70
31465.9,44935.8,92.5,344.035,70
31637,44953.1,93,343.54,70
31808,44968,93.5,343.114,70
31979,44980.5,94,342.758,70
32150,44990.5,94.5,342.471,70
32321,44998,95,342.255,70
32492,45003.1,95.5,342.109,70
32663,45005.8,96,342.033,70
32834,45006,96.5,342.027,70
33005,45003.7,97,342.092,70
33176,44999,97.5,342.227,70
33347.1,44991.8,98,342.433,70
33518.1,44982.2,98.5,342.708,70
33689.1,44970.2,99,343.053,70
33860.1,44955.6,99.5,343.468,70
34031.1,44938.7,100,343.953,70
34202.1,44919.2,100.5,344.507,70
34373.1,44897.3,101,345.129,70
34544.1,44873,101.5,345.82,70
34715.1,44846.2,102,346.579,70
34886.2,44817,102.5,347.406,70
