x,y,t,v,angle,id
689.104,99.112,11.6,69.1207,45,DRAG
694.145,94.3825,11.7,69.5888,45,DRAG
699.17,89.5691,11.8,70.0612,45,DRAG
704.181,84.6721,11.9,70.5379,45,DRAG
709.176,79.6918,12,71.0185,45,DRAG
714.156,74.6287,12.1,71.5028,45,DRAG
719.121,69.483,12.2,71.9907,45,DRAG
724.07,64.2552,12.3,72.4818,45,DRAG
729.004,58.9455,12.4,72.9761,45,DRAG
733.923,53.5544,12.5,73.4732,45,DRAG
738.826,48.0822,12.6,73.973,45,DRAG
743.713,42.5294,12.7,74.4753,45,DRAG
748.585,36.8962,12.8,74.9799,45,DRAG
753.441,31.1831,12.9,75.4866,45,DRAG
758.281,25.3905,13,75.9953,45,DRAG
763.105,19.5186,13.1,76.5058,45,DRAG
767.914,13.568,13.2,77.0179,45,DRAG
772.706,7.53902,13.3,77.5314,45,DRAG
777.483,1.43202,13.4,78.0462,45,DRAG
778.603,0,13.5,0,45,DRAG
0,0,0,100,45,HEIGHT_DRAG
7.07107,7.07106,0.1,99.3088,45,HEIGHT_DRAG
14.1421,14.044,0.2,98.1956,45,HEIGHT_DRAG
21.1828,20.8889,0.3,97.0972,45,HEIGHT_DRAG
28.1936,27.6066,0.4,96.0134,45,HEIGHT_DRAG
35.1749,34.198,0.5,94.9441,45,HEIGHT_DRAG
42.1273,40.664,0.6,93.8892,45,HEIGHT_DRAG
49.0511,47.0053,0.7,92.8486,45,HEIGHT_DRAG
55.9469,53.2228,0.8,91.8223,45,HEIGHT_DRAG
62.815,59.3173,0.9,90.8101,45,HEIGHT_DRAG
69.6558,65.2895,1,89.8121,45,HEIGHT_DRAG
76.4699,71.1402,1.1,88.8282,45,HEIGHT_DRAG
83.2576,76.8701,1.2,87.8583,45,HEIGHT_DRAG
90.0192,82.48,1.3,86.9024,45,HEIGHT_DRAG
96.7553,87.9705,1.4,85.9604,45,HEIGHT_DRAG
103.466,93.3424,1.5,85.0324,45,HEIGHT_DRAG
110.152,98.5963,1.6,84.1184,45,HEIGHT_DRAG
116.813,103.733,1.7,83.2183,45,HEIGHT_DRAG
123.451,108.753,1.8,82.3321,45,HEIGHT_DRAG
130.064,113.656,1.9,81.4599,45,HEIGHT_DRAG
136.655,118.445,2,80.6016,45,HEIGHT_DRAG
143.222,123.118,2.1,79.7573,45,HEIGHT_DRAG
149.766,127.677,2.2,78.9271,45,HEIGHT_DRAG
156.288,132.122,2.3,78.111,45,HEIGHT_DRAG
162.787,136.455,2.4,77.3089,45,HEIGHT_DRAG
169.265,140.674,2.5,76.5211,45,HEIGHT_DRAG
175.721,144.781,2.6,75.7474,45,HEIGHT_DRAG
182.157,148.777,2.7,74.9881,45,HEIGHT_DRAG
188.571,152.662,2.8,74.2431,45,HEIGHT_DRAG
194.964,156.436,2.9,73.5126,45,HEIGHT_DRAG
201.337,160.1,3,72.7967,45,HEIGHT_DRAG
207.69,163.654,3.1,72.0953,45,HEIGHT_DRAG
214.023,167.099,3.2,71.4087,45,HEIGHT_DRAG
220.337,170.436,3.3,70.7369,45,HEIGHT_DRAG
226.631,173.664,3.4,70.0801,45,HEIGHT_DRAG
232.906,176.784,3.5,69.4382,45,HEIGHT_DRAG
239.163,179.796,3.6,68.8115,45,HEIGHT_DRAG
245.4,182.702,3.7,68.2001,45,HEIGHT_DRAG
251.62,185.501,3.8,67.604,45,HEIGHT_DRAG
257.821,188.193,3.9,67.0234,45,HEIGHT_DRAG
264.004,190.78,4,66.4585,45,HEIGHT_DRAG
270.169,193.261,4.1,65.9093,45,HEIGHT_DRAG
276.317,195.637,4.2,65.3759,45,HEIGHT_DRAG
282.447,197.908,4.3,64.8586,45,HEIGHT_DRAG
288.56,200.075,4.4,64.3573,45,HEIGHT_DRAG
294.657,202.138,4.5,63.8723,45,HEIGHT_DRAG
300.736,204.096,4.6,63.4036,45,HEIGHT_DRAG
306.799,205.952,4.7,62.9514,45,HEIGHT_DRAG
312.845,207.704,4.8,62.5158,45,HEIGHT_DRAG
318.875,209.353,4.9,62.0968,45,HEIGHT_DRAG
324.889,210.9,5,61.6947,45,HEIGHT_DRAG
330.887,212.345,5.1,61.3095,45,HEIGHT_DRAG
336.869,213.688,5.2,60.9413,45,HEIGHT_DRAG
342.836,214.929,5.3,60.5902,45,HEIGHT_DRAG
348.787,216.069,5.4,60.2563,45,HEIGHT_DRAG
354.722,217.107,5.5,59.9396,45,HEIGHT_DRAG
360.642,218.045,5.6,59.6402,45,HEIGHT_DRAG
366.547,218.883,5.7,59.3582,45,HEIGHT_DRAG
372.437,219.62,5.8,59.0936,45,HEIGHT_DRAG
378.312,220.257,5.9,58.8465,45,HEIGHT_DRAG
384.172,220.795,6,58.6169,45,HEIGHT_DRAG
390.017,221.233,6.1,58.4048,45,HEIGHT_DRAG
395.848,221.572,6.2,58.2102,45,HEIGHT_DRAG
401.664,221.812,6.3,58.0331,45,HEIGHT_DRAG
407.465,221.953,6.4,57.8735,45,HEIGHT_DRAG
413.253,221.996,6.5,57.7313,45,HEIGHT_DRAG
419.025,221.94,6.6,57.6065,45,HEIGHT_DRAG
424.784,221.787,6.7,57.499,45,HEIGHT_DRAG
430.528,221.536,6.8,57.4088,45,HEIGHT_DRAG
436.259,221.187,6.9,57.3357,45,HEIGHT_DRAG
441.975,220.741,7,57.2797,45,HEIGHT_DRAG
447.677,220.199,7.1,57.2407,45,HEIGHT_DRAG
453.365,219.559,7.2,57.2184,45,HEIGHT_DRAG
459.04,218.823,7.3,57.2128,45,HEIGHT_DRAG
464.7,217.99,7.4,57.2238,45,HEIGHT_DRAG
470.347,217.062,7.5,57.251,45,HEIGHT_DRAG
475.979,216.038,7.6,57.2944,45,HEIGHT_DRAG
481.598,214.918,7.7,57.3538,45,HEIGHT_DRAG
487.203,213.702,7.8,57.4289,45,HEIGHT_DRAG
492.795,212.392,7.9,57.5195,45,HEIGHT_DRAG
498.372,210.987,8,57.6254,45,HEIGHT_DRAG
503.936,209.487,8.1,57.7464,45,HEIGHT_DRAG
509.487,207.893,8.2,57.8822,45,HEIGHT_DRAG
515.023,206.204,8.3,58.0325,45,HEIGHT_DRAG
520.546,204.422,8.4,58.1971,45,HEIGHT_DRAG
526.055,202.546,8.5,58.3757,45,HEIGHT_DRAG
531.55,200.576,8.6,58.5681,45,HEIGHT_DRAG
537.032,198.514,8.7,58.7738,45,HEIGHT_DRAG
542.5,196.358,8.8,58.9927,45,HEIGHT_DRAG
547.954,194.11,8.9,59.2244,45,HEIGHT_DRAG
553.394,191.769,9,59.4687,45,HEIGHT_DRAG
558.82,189.336,9.1,59.7252,45,HEIGHT_DRAG
564.233,186.811,9.2,59.9936,45,HEIGHT_DRAG
569.632,184.195,9.3,60.2737,45,HEIGHT_DRAG
575.017,181.487,9.4,60.565,45,HEIGHT_DRAG
580.388,178.689,9.5,60.8673,45,HEIGHT_DRAG
585.745,175.799,9.6,61.1803,45,HEIGHT_DRAG
591.088,172.819,9.7,61.5036,45,HEIGHT_DRAG
596.417,169.748,9.8,61.8369,45,HEIGHT_DRAG
601.732,166.588,9.9,62.18,45,HEIGHT_DRAG
607.033,163.337,10,62.5325,45,HEIGHT_DRAG
612.32,159.998,10.1,62.8941,45,HEIGHT_DRAG
617.592,156.569,10.2,63.2645,45,HEIGHT_DRAG
622.85,153.051,10.3,63.6433,45,HEIGHT_DRAG
628.095,149.445,10.4,64.0304,45,HEIGHT_DRAG
633.324,145.751,10.5,64.4253,45,HEIGHT_DRAG
638.54,141.968,10.6,64.8278,45,HEIGHT_DRAG
643.74,138.098,10.7,65.2377,45,HEIGHT_DRAG
648.927,134.141,10.8,65.6545,45,HEIGHT_DRAG
654.099,130.096,10.9,66.078,45,HEIGHT_DRAG
659.256,125.965,11,66.508,45,HEIGHT_DRAG
664.399,121.748,11.1,66.9442,45,HEIGHT_DRAG
669.527,117.445,11.2,67.3862,45,HEIGHT_DRAG
674.64,113.055,11.3,67.8339,45,HEIGHT_DRAG
679.738,108.581,11.4,68.287,45,HEIGHT_DRAG
684.822,104.021,11.5,68.7452,45,HEIGHT_DRAG
689.89,99.3771,11.6,69.2083,45,HEIGHT_DRAG
694.944,94.6485,11.7,69.676,45,HEIGHT_DRAG
